Log dir:  ./runs/run_bagnet
Num classes (k) =  200
Model loaded from /home/s2845016/projects/whitebox-deeplearning/bagnet/model/bagnet33_encoder128.pth.
--- DBScan Load Model: 0.7175285816192627 seconds ---
--- DBScan Prediction: 31728.24245285988 seconds ---
--- Decision Tree Prediction: 0.2824263572692871 seconds ---
Prediction:
['099.Ovenbird' '099.Ovenbird' '099.Ovenbird' '099.Ovenbird'
 '099.Ovenbird' '099.Ovenbird' '099.Ovenbird' '099.Ovenbird'
 '099.Ovenbird' '099.Ovenbird' '099.Ovenbird' '099.Ovenbird'
 '099.Ovenbird' '099.Ovenbird' '099.Ovenbird' '099.Ovenbird'
 '099.Ovenbird' '099.Ovenbird' '099.Ovenbird' '099.Ovenbird'
 '099.Ovenbird' '099.Ovenbird' '099.Ovenbird' '191.Red_headed_Woodpecker'
 '099.Ovenbird' '099.Ovenbird' '099.Ovenbird' '099.Ovenbird'
 '099.Ovenbird' '099.Ovenbird' '099.Ovenbird' '028.Brown_Creeper'
 '099.Ovenbird' '099.Ovenbird' '099.Ovenbird' '099.Ovenbird'
 '099.Ovenbird' '099.Ovenbird' '099.Ovenbird' '099.Ovenbird'
 '099.Ovenbird' '099.Ovenbird' '099.Ovenbird' '099.Ovenbird'
 '099.Ovenbird' '099.Ovenbird' '099.Ovenbird' '099.Ovenbird'
 '099.Ovenbird' '099.Ovenbird' '099.Ovenbird' '099.Ovenbird'
 '099.Ovenbird' '099.Ovenbird' '099.Ovenbird' '099.Ovenbird'
 '099.Ovenbird' '099.Ovenbird' '099.Ovenbird' '099.Ovenbird'
 '099.Ovenbird' '099.Ovenbird' '099.Ovenbird' '099.Ovenbird'
 '099.Ovenbird' '099.Ovenbird' '099.Ovenbird' '099.Ovenbird'
 '099.Ovenbird' '099.Ovenbird' '099.Ovenbird' '099.Ovenbird'
 '152.Blue_headed_Vireo' '099.Ovenbird' '099.Ovenbird' '099.Ovenbird'
 '099.Ovenbird' '099.Ovenbird' '099.Ovenbird' '099.Ovenbird'
 '099.Ovenbird' '099.Ovenbird' '099.Ovenbird' '099.Ovenbird'
 '099.Ovenbird' '099.Ovenbird' '099.Ovenbird' '099.Ovenbird'
 '099.Ovenbird' '099.Ovenbird' '099.Ovenbird' '099.Ovenbird'
 '099.Ovenbird' '099.Ovenbird' '099.Ovenbird' '099.Ovenbird'
 '099.Ovenbird' '099.Ovenbird' '099.Ovenbird' '099.Ovenbird'
 '099.Ovenbird' '099.Ovenbird' '099.Ovenbird' '099.Ovenbird'
 '099.Ovenbird' '099.Ovenbird' '099.Ovenbird' '099.Ovenbird'
 '099.Ovenbird' '099.Ovenbird' '099.Ovenbird' '099.Ovenbird'
 '099.Ovenbird' '099.Ovenbird' '099.Ovenbird' '099.Ovenbird'
 '099.Ovenbird' '099.Ovenbird' '099.Ovenbird' '099.Ovenbird'
 '099.Ovenbird' '029.American_Crow' '099.Ovenbird' '099.Ovenbird'
 '099.Ovenbird' '099.Ovenbird' '099.Ovenbird' '099.Ovenbird'
 '099.Ovenbird' '099.Ovenbird' '099.Ovenbird' '099.Ovenbird'
 '099.Ovenbird' '099.Ovenbird' '099.Ovenbird' '099.Ovenbird'
 '099.Ovenbird' '099.Ovenbird' '099.Ovenbird' '099.Ovenbird'
 '099.Ovenbird' '099.Ovenbird' '099.Ovenbird' '099.Ovenbird'
 '099.Ovenbird' '099.Ovenbird' '099.Ovenbird' '099.Ovenbird'
 '099.Ovenbird' '099.Ovenbird' '099.Ovenbird' '099.Ovenbird'
 '099.Ovenbird' '099.Ovenbird' '099.Ovenbird' '099.Ovenbird'
 '099.Ovenbird' '099.Ovenbird' '099.Ovenbird' '099.Ovenbird'
 '099.Ovenbird' '099.Ovenbird' '099.Ovenbird' '099.Ovenbird'
 '099.Ovenbird' '099.Ovenbird' '099.Ovenbird' '099.Ovenbird'
 '099.Ovenbird' '099.Ovenbird' '099.Ovenbird' '099.Ovenbird'
 '099.Ovenbird' '099.Ovenbird' '099.Ovenbird' '099.Ovenbird'
 '099.Ovenbird' '099.Ovenbird' '099.Ovenbird' '099.Ovenbird'
 '099.Ovenbird' '099.Ovenbird' '099.Ovenbird' '099.Ovenbird'
 '099.Ovenbird' '099.Ovenbird' '099.Ovenbird' '099.Ovenbird'
 '099.Ovenbird' '099.Ovenbird' '099.Ovenbird' '099.Ovenbird'
 '099.Ovenbird' '099.Ovenbird' '099.Ovenbird' '099.Ovenbird'
 '099.Ovenbird' '099.Ovenbird' '099.Ovenbird' '099.Ovenbird'
 '099.Ovenbird' '099.Ovenbird' '099.Ovenbird' '099.Ovenbird'
 '099.Ovenbird' '099.Ovenbird' '099.Ovenbird' '099.Ovenbird'
 '099.Ovenbird' '099.Ovenbird' '099.Ovenbird' '099.Ovenbird'
 '099.Ovenbird' '099.Ovenbird' '099.Ovenbird' '099.Ovenbird'
 '099.Ovenbird' '099.Ovenbird' '099.Ovenbird' '099.Ovenbird'
 '099.Ovenbird' '099.Ovenbird' '099.Ovenbird' '099.Ovenbird'
 '099.Ovenbird' '099.Ovenbird' '099.Ovenbird' '099.Ovenbird'
 '099.Ovenbird' '099.Ovenbird' '099.Ovenbird' '099.Ovenbird'
 '099.Ovenbird' '099.Ovenbird' '099.Ovenbird' '099.Ovenbird'
 '099.Ovenbird' '099.Ovenbird' '099.Ovenbird' '099.Ovenbird'
 '099.Ovenbird' '099.Ovenbird' '099.Ovenbird' '099.Ovenbird'
 '099.Ovenbird' '099.Ovenbird' '099.Ovenbird' '099.Ovenbird'
 '099.Ovenbird' '046.Gadwall' '099.Ovenbird' '099.Ovenbird' '099.Ovenbird'
 '099.Ovenbird' '099.Ovenbird' '099.Ovenbird' '099.Ovenbird'
 '099.Ovenbird' '099.Ovenbird' '099.Ovenbird' '099.Ovenbird'
 '099.Ovenbird' '099.Ovenbird' '099.Ovenbird' '099.Ovenbird'
 '099.Ovenbird' '099.Ovenbird' '099.Ovenbird' '099.Ovenbird'
 '099.Ovenbird' '099.Ovenbird' '099.Ovenbird' '099.Ovenbird'
 '099.Ovenbird' '099.Ovenbird' '099.Ovenbird' '099.Ovenbird'
 '099.Ovenbird' '099.Ovenbird' '099.Ovenbird' '099.Ovenbird'
 '099.Ovenbird' '099.Ovenbird' '099.Ovenbird' '099.Ovenbird'
 '099.Ovenbird' '099.Ovenbird' '099.Ovenbird' '099.Ovenbird'
 '021.Eastern_Towhee' '099.Ovenbird' '099.Ovenbird' '099.Ovenbird'
 '099.Ovenbird' '099.Ovenbird' '099.Ovenbird' '099.Ovenbird'
 '099.Ovenbird' '099.Ovenbird' '099.Ovenbird' '099.Ovenbird'
 '099.Ovenbird' '099.Ovenbird' '099.Ovenbird' '099.Ovenbird'
